2023-02-10 15:22:03,215 INFO    StreamThr :119247 [internal.py:wandb_internal():87] W&B internal server running at pid: 119247, started at: 2023-02-10 15:22:03.213488
2023-02-10 15:22:03,221 DEBUG   HandlerThread:119247 [handler.py:handle_request():144] handle_request: status
2023-02-10 15:22:03,227 INFO    WriterThread:119247 [datastore.py:open_for_write():85] open: ./wandb/run-20230210_152203-t7lf2yc1/run-t7lf2yc1.wandb
2023-02-10 15:22:03,236 DEBUG   SenderThread:119247 [sender.py:send():334] send: header
2023-02-10 15:22:03,236 DEBUG   SenderThread:119247 [sender.py:send():334] send: run
2023-02-10 15:22:03,908 DEBUG   HandlerThread:119247 [handler.py:handle_request():144] handle_request: check_version
2023-02-10 15:22:03,915 INFO    SenderThread:119247 [dir_watcher.py:__init__():216] watching files in: ./wandb/run-20230210_152203-t7lf2yc1/files
2023-02-10 15:22:03,916 INFO    SenderThread:119247 [sender.py:_start_run_threads():1065] run started: t7lf2yc1 with start time 1676031723.206025
2023-02-10 15:22:03,916 DEBUG   SenderThread:119247 [sender.py:send_request():361] send_request: summary_record
2023-02-10 15:22:03,917 INFO    SenderThread:119247 [sender.py:_save_file():1319] saving file wandb-summary.json with policy end
2023-02-10 15:22:03,918 DEBUG   SenderThread:119247 [sender.py:send_request():361] send_request: check_version
2023-02-10 15:22:04,283 DEBUG   HandlerThread:119247 [handler.py:handle_request():144] handle_request: run_start
2023-02-10 15:22:04,301 DEBUG   HandlerThread:119247 [system_info.py:__init__():31] System info init
2023-02-10 15:22:04,301 DEBUG   HandlerThread:119247 [system_info.py:__init__():46] System info init done
2023-02-10 15:22:04,302 INFO    HandlerThread:119247 [system_monitor.py:start():151] Starting system monitor
2023-02-10 15:22:04,303 INFO    SystemMonitor:119247 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-02-10 15:22:04,303 INFO    HandlerThread:119247 [system_monitor.py:probe():172] Collecting system info
2023-02-10 15:22:04,305 INFO    SystemMonitor:119247 [interfaces.py:start():168] Started cpu
2023-02-10 15:22:04,307 INFO    SystemMonitor:119247 [interfaces.py:start():168] Started disk
2023-02-10 15:22:04,309 INFO    SystemMonitor:119247 [interfaces.py:start():168] Started gpu
2023-02-10 15:22:04,311 INFO    SystemMonitor:119247 [interfaces.py:start():168] Started memory
2023-02-10 15:22:04,317 INFO    SystemMonitor:119247 [interfaces.py:start():168] Started network
2023-02-10 15:22:04,382 DEBUG   HandlerThread:119247 [system_info.py:probe():195] Probing system
2023-02-10 15:22:04,397 DEBUG   HandlerThread:119247 [git.py:repo():40] git repository is invalid
2023-02-10 15:22:04,397 DEBUG   HandlerThread:119247 [system_info.py:probe():241] Probing system done
